feature_selection_k,model,macro_precision,macro_recall,macro_f1,weighted_f1,accuracy,output_dir
5000,linear_svm,0.8827262984046665,0.7667266650901774,0.812046124141603,0.9458847061345614,0.9503096846846848,outputs/feature_selection/k_5000
0,linear_svm,0.8716939815050975,0.7602301521159011,0.8038851504896369,0.943489175920372,0.9480574324324323,outputs/feature_selection/baseline
20000,linear_svm,0.8716939815050975,0.7602301521159011,0.8038851504896369,0.943489175920372,0.9480574324324323,outputs/feature_selection/k_20000
30000,linear_svm,0.8716939815050975,0.7602301521159011,0.8038851504896369,0.943489175920372,0.9480574324324323,outputs/feature_selection/k_30000
10000,linear_svm,0.8713600449921575,0.7594009647195494,0.8031742760712013,0.9433073390607049,0.9479166666666666,outputs/feature_selection/k_10000
10000,logistic_regression,0.922770409635464,0.7018265846586174,0.766061683371557,0.9363085348533716,0.9458051801801802,outputs/feature_selection/k_10000
5000,logistic_regression,0.9231493934656734,0.6977575589212834,0.762109966257557,0.9353994618086056,0.9452421171171173,outputs/feature_selection/k_5000
0,logistic_regression,0.9151783137938037,0.6982021900955153,0.7612006274416152,0.9349850758373378,0.944679054054054,outputs/feature_selection/baseline
20000,logistic_regression,0.9151783137938037,0.6982021900955153,0.7612006274416152,0.9349850758373378,0.944679054054054,outputs/feature_selection/k_20000
30000,logistic_regression,0.9151783137938037,0.6982021900955153,0.7612006274416152,0.9349850758373378,0.944679054054054,outputs/feature_selection/k_30000
5000,naive_bayes,0.9502346465816918,0.658588690144111,0.7234748655614924,0.9271054250092754,0.941019144144144,outputs/feature_selection/k_5000
10000,naive_bayes,0.9514470129755104,0.6248227406269682,0.681955870765771,0.917796091396056,0.935670045045045,outputs/feature_selection/k_10000
0,naive_bayes,0.9476269664252018,0.5925613434136807,0.6374236216374111,0.9079809307637602,0.930320945945946,outputs/feature_selection/baseline
20000,naive_bayes,0.9476269664252018,0.5925613434136807,0.6374236216374111,0.9079809307637602,0.930320945945946,outputs/feature_selection/k_20000
30000,naive_bayes,0.9476269664252018,0.5925613434136807,0.6374236216374111,0.9079809307637602,0.930320945945946,outputs/feature_selection/k_30000
